committee_id,committee_name,report_year,report_type,image_number,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_state,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,memo_code,memo_code_full,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,amendment_indicator,amendment_indicator_desc,schedule_type_full,load_date,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,payee_last_name,payee_first_name,payee_middle_name,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,spender_committee_type,spender_committee_org_type,spender_committee_designation,filing_form,link_id,recipient_city,recipient_zip,disbursement_purpose_category,memo_text,two_year_transaction_period,schedule_type,sub_id,pdf_url,line_number_label,payee_prefix,payee_suffix,payee_employer,payee_occupation,ref_disp_excess_flg,comm_dt
C00019331,DEMOCRATIC PARTY OF WISCONSIN FEDERAL,2022,M7,202210199537600254,21B,500816265,1644581,ORG,ORGANIZATION,,,NEW PARTNERS CONSULTING INC.,DC,,,,,VOIDED CHECK FROM 3/22/22.,,,2022-06-23 00:00:00,-1425.00,,,,,,,,,,,,,,,,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2022-11-18 04:06:28,,,,0.00,,,,,,,,,,,,Y,,U,F3X,4101920221589125372,WASHINGTON,200042176,OTHER,,2022,SB,4111720221630201117,https://docquery.fec.gov/cgi-bin/fecimg/?202210199537600254,Other Federal Operating Expenditures,,,,,,
C00019331,DEMOCRATIC PARTY OF WISCONSIN FEDERAL,2021,M5,202107209451908425,30B,30B-31-01608-10584,1529486,IND,INDIVIDUAL,,,"SOROTA, THEODORE P",WI,,,,,PAYROLL,X,,2021-04-14 00:00:00,-1143.18,,,,,,,,,,,,,,,,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2021-08-13 05:00:38.412,,30B-31-01608-0000,SB30B,0.00,SOROTA,THEODORE,P,,,,,,,,,Y,,U,F3X,4072120211321224608,MADISON,53703,OTHER,,2022,SB,4081320211326580213,https://docquery.fec.gov/cgi-bin/fecimg/?202107209451908425,Federal Election Activity Paid Entirely With Federal Funds,,,,,,
C00019331,DEMOCRATIC PARTY OF WISCONSIN FEDERAL,2021,M10,202110209468129674,30B,30B-31-02092-19285,1545897,ORG,ORGANIZATION,,,PAYCHEX OF NEW YORK LLC,WI,,,,,CREDIT,,,2021-09-13 00:00:00,-744.08,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2021-11-04 16:55:45.187,,,,0.00,,,,,,,,,,,,Y,,U,F3X,4102120211374312297,BROOKFIELD,53005,OTHER,,2022,SB,4110420211377169951,https://docquery.fec.gov/cgi-bin/fecimg/?202110209468129674,Federal Election Activity Paid Entirely With Federal Funds,,,,,,
C00019331,DEMOCRATIC PARTY OF WISCONSIN FEDERAL,2021,M10,202110209468129673,30B,30B-31-02089-19149,1545897,ORG,ORGANIZATION,,,PAYCHEX OF NEW YORK LLC,WI,,,,,CREDIT,,,2021-09-13 00:00:00,-550.60,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2021-11-04 16:55:45.187,,,,0.00,,,,,,,,,,,,Y,,U,F3X,4102120211374312297,BROOKFIELD,53005,OTHER,,2022,SB,4110420211377169946,https://docquery.fec.gov/cgi-bin/fecimg/?202110209468129673,Federal Election Activity Paid Entirely With Federal Funds,,,,,,
C00019331,DEMOCRATIC PARTY OF WISCONSIN FEDERAL,2021,M9,202109209466964379,28A,28A-00-00152-00152,1539315,ORG,ORGANIZATION,,,ACTIONSPROUT INCORPORATED,CO,,,,,REFUND,,,2021-08-01 00:00:00,-447.00,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2021-09-24 03:52:42.443,,,,0.00,,,,,,,,,,,,Y,,U,F3X,4092220211371256033,DENVER,80202,OTHER,,2022,SB,4092420211371984201,https://docquery.fec.gov/cgi-bin/fecimg/?202109209466964379,Refunds of Contributions Made to Individuals/Persons Other Than Political Committees,,,,,,
C00019331,DEMOCRATIC PARTY OF WISCONSIN FEDERAL,2021,M10,202110209468129648,21B,21B-31-02162-19748,1545897,ORG,ORGANIZATION,,,PAYCHEX OF NEW YORK LLC,WI,,,,,CREDIT,,,2021-09-29 00:00:00,-142.65,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2021-11-04 16:55:45.183,,,,0.00,,,,,,,,,,,,Y,,U,F3X,4102120211374312297,BROOKFIELD,53005,OTHER,,2022,SB,4110420211377169878,https://docquery.fec.gov/cgi-bin/fecimg/?202110209468129648,Other Federal Operating Expenditures,,,,,,
C00019331,DEMOCRATIC PARTY OF WISCONSIN FEDERAL,2021,M6,202107209451926006,30B,30B-31-01712-12712,1529496,ORG,ORGANIZATION,,,"FACEBOOK, INC.",CA,,,,,VOIDED TRANSACTION - DUPLICATE ENTRY - ORIGINALLY REPORTED 04/14/2021,,,2021-05-31 00:00:00,-103.91,,,,,,,,,,,,,,,,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2021-08-13 05:00:38.46,,,,0.00,,,,,,,,,,,,Y,,U,F3X,4072120211321224619,PALO ALTO,943041111,OTHER,,2022,SB,4081320211326580493,https://docquery.fec.gov/cgi-bin/fecimg/?202107209451926006,Federal Election Activity Paid Entirely With Federal Funds,,,,,,
C00019331,DEMOCRATIC PARTY OF WISCONSIN FEDERAL,2022,M3,202203209494080668,21B,500792509,1575815,ORG,ORGANIZATION,,,ACTBLUE TECHNICAL SERVICES,MA,,,,,MERCHANT FEES,,,2022-02-28 00:00:00,0.04,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2022-03-26 03:51:46.696,,,,0.00,,,,,,,,,,,,Y,,U,F3X,4032020221463746127,CAMBRIDGE,022382110,OTHER,,2022,SB,4032520221464305745,https://docquery.fec.gov/cgi-bin/fecimg/?202203209494080668,Other Federal Operating Expenditures,,,,,,
C00019331,DEMOCRATIC PARTY OF WISCONSIN FEDERAL,2022,M6,202210199537598506,21B,500806753,1644565,ORG,ORGANIZATION,,,ACTBLUE TECHNICAL SERVICES,MA,,,,,MERCHANT FEES,,,2022-05-09 00:00:00,0.04,,,,,,,,,,,,,,,,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2022-11-18 04:06:28,,,,0.00,,,,,,,,,,,,Y,,U,F3X,4101920221589125358,CAMBRIDGE,022382110,OTHER,,2022,SB,4111720221630201756,https://docquery.fec.gov/cgi-bin/fecimg/?202210199537598506,Other Federal Operating Expenditures,,,,,,
C00019331,DEMOCRATIC PARTY OF WISCONSIN FEDERAL,2022,M6,202210199537598507,21B,500806756,1644565,ORG,ORGANIZATION,,,ACTBLUE TECHNICAL SERVICES,MA,,,,,MERCHANT FEES,,,2022-05-16 00:00:00,0.04,,,,,,,,,,,,,,,,,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2022-11-18 04:06:28,,,,0.00,,,,,,,,,,,,Y,,U,F3X,4101920221589125358,CAMBRIDGE,022382110,OTHER,,2022,SB,4111720221630201759,https://docquery.fec.gov/cgi-bin/fecimg/?202210199537598507,Other Federal Operating Expenditures,,,,,,
